Refining1,Refining2,Fe,Mn,Si,Al,Mg,Ti,Cu,Cr,Zn,Stress
1,2,0.35,0.1,0.15,98.33,0.8,0,0.1,0.05,0.125,95
1,4,0.35,0.1,0.15,98.33,0.8,0,0.1,0.05,0.125,120
1,6,0.35,0.1,0.15,98.33,0.8,0,0.1,0.05,0.125,145
1,8,0.35,0.1,0.15,98.33,0.8,0,0.1,0.05,0.125,165
2,2,0.35,0.1,0.15,98.33,0.8,0,0.1,0.05,0.125,85
2,4,0.35,0.1,0.15,98.33,0.8,0,0.1,0.05,0.125,165
3,4,0.35,0.1,0.15,98.33,0.8,0,0.1,0.05,0.125,105
3,8,0.35,0.1,0.15,98.33,0.8,0,0.1,0.05,0.125,165
1,1,0.18,0.35,0.1,95.58,3.5,0.05,0.08,0.05,0.125,115
1,8,0.18,0.35,0.1,95.58,3.5,0.05,0.08,0.05,0.125,300
1,9,0.18,0.35,0.1,95.58,3.5,0.05,0.08,0.05,0.125,320
2,4,0.18,0.35,0.1,95.58,3.5,0.05,0.08,0.05,0.125,230
1,1,0.35,0.05,0.2,97.68,1.45,0,0.1,0.05,0.125,55
1,2,0.35,0.05,0.2,97.68,1.45,0,0.1,0.05,0.125,130
1,4,0.35,0.05,0.2,97.68,1.45,0,0.1,0.05,0.125,150
1,6,0.35,0.05,0.2,97.68,1.45,0,0.1,0.05,0.125,170
1,8,0.35,0.05,0.2,97.68,1.45,0,0.1,0.05,0.125,190
2,2,0.35,0.05,0.2,97.68,1.45,0,0.1,0.05,0.125,110
2,4,0.35,0.05,0.2,97.68,1.45,0,0.1,0.05,0.125,135
2,6,0.35,0.05,0.2,97.68,1.45,0,0.1,0.05,0.125,160
2,8,0.35,0.05,0.2,97.68,1.45,0,0.1,0.05,0.125,180
3,2,0.35,0.05,0.2,97.68,1.45,0,0.1,0.05,0.125,110
3,4,0.35,0.05,0.2,97.68,1.45,0,0.1,0.05,0.125,135
3,8,0.35,0.05,0.2,97.68,1.45,0,0.1,0.05,0.125,180
1,1,0.2,0.05,0.13,96.78,2.5,0,0.05,0.25,0.05,65
1,2,0.2,0.05,0.13,96.78,2.5,0,0.05,0.25,0.05,155
1,4,0.2,0.05,0.13,96.78,2.5,0,0.05,0.25,0.05,180
1,6,0.2,0.05,0.13,96.78,2.5,0,0.05,0.25,0.05,205
1,8,0.2,0.05,0.13,96.78,2.5,0,0.05,0.25,0.05,220
2,2,0.2,0.05,0.13,96.78,2.5,0,0.05,0.25,0.05,155
2,4,0.2,0.05,0.13,96.78,2.5,0,0.05,0.25,0.05,180
2,6,0.2,0.05,0.13,96.78,2.5,0,0.05,0.25,0.05,205
3,2,0.2,0.05,0.13,96.78,2.5,0,0.05,0.25,0.05,155
3,4,0.2,0.05,0.13,96.78,2.5,0,0.05,0.25,0.05,180
3,6,0.2,0.05,0.13,96.78,2.5,0,0.05,0.25,0.05,205
3,8,0.2,0.05,0.13,96.78,2.5,0,0.05,0.25,0.05,220
1,2,0.2,0.13,0.15,94.25,5.05,0,0.05,0.13,0.05,255
1,8,0.2,0.13,0.15,94.25,5.05,0,0.05,0.13,0.05,360
3,2,0.2,0.13,0.15,94.25,5.05,0,0.05,0.13,0.05,205
3,4,0.2,0.13,0.15,94.25,5.05,0,0.05,0.13,0.05,265
3,8,0.2,0.13,0.15,94.25,5.05,0,0.05,0.13,0.05,320
4,8,0.18,0.08,0.1,94.83,4.5,0.05,0.08,0.08,0.125,300
1,1,0.25,0.45,0.2,94.7,4,0.08,0.05,0.15,0.125,110
1,8,0.25,0.45,0.2,94.7,4,0.08,0.05,0.15,0.125,285
2,2,0.25,0.45,0.2,94.7,4,0.08,0.05,0.15,0.125,195
2,4,0.25,0.45,0.2,94.7,4,0.08,0.05,0.15,0.125,235
2,6,0.25,0.45,0.2,94.7,4,0.08,0.05,0.15,0.125,265
3,2,0.25,0.45,0.2,94.7,4,0.08,0.05,0.15,0.125,195
3,4,0.25,0.45,0.2,94.7,4,0.08,0.05,0.15,0.125,235
3,6,0.25,0.45,0.2,94.7,4,0.08,0.05,0.15,0.125,265
3,8,0.25,0.45,0.2,94.7,4,0.08,0.05,0.15,0.125,285
3,2,0.25,0.45,0.2,94.7,4,0.08,0.05,0.15,0.125,195
1,1,0.2,0.05,0.13,95.63,3.5,0.1,0.05,0.25,0.1,75
1,2,0.2,0.05,0.13,95.63,3.5,0.1,0.05,0.25,0.1,175
1,4,0.2,0.05,0.13,95.63,3.5,0.1,0.05,0.25,0.1,205
1,6,0.2,0.05,0.13,95.63,3.5,0.1,0.05,0.25,0.1,225
1,8,0.2,0.05,0.13,95.63,3.5,0.1,0.05,0.25,0.1,240
2,2,0.2,0.05,0.13,95.63,3.5,0.1,0.05,0.25,0.1,175
2,4,0.2,0.05,0.13,95.63,3.5,0.1,0.05,0.25,0.1,205
2,6,0.2,0.05,0.13,95.63,3.5,0.1,0.05,0.25,0.1,225
3,2,0.2,0.05,0.13,95.63,3.5,0.1,0.05,0.25,0.1,175
3,4,0.2,0.05,0.13,95.63,3.5,0.1,0.05,0.25,0.1,205
3,6,0.2,0.05,0.13,95.63,3.5,0.1,0.05,0.25,0.1,225
3,8,0.2,0.05,0.13,95.63,3.5,0.1,0.05,0.25,0.1,240
1,9,0.18,0.35,0.1,94.58,4.5,0.05,0.08,0.05,0.125,320
1,1,0.25,0.3,0.2,96.9,2.05,0.08,0.08,0.08,0.075,60
1,2,0.25,0.3,0.2,96.9,2.05,0.08,0.08,0.08,0.075,110
1,4,0.25,0.3,0.2,96.9,2.05,0.08,0.08,0.08,0.075,160
1,6,0.25,0.3,0.2,96.9,2.05,0.08,0.08,0.08,0.075,180
1,8,0.25,0.3,0.2,96.9,2.05,0.08,0.08,0.08,0.075,200
2,2,0.25,0.3,0.2,96.9,2.05,0.08,0.08,0.08,0.075,130
2,4,0.25,0.3,0.2,96.9,2.05,0.08,0.08,0.08,0.075,180
2,6,0.25,0.3,0.2,96.9,2.05,0.08,0.08,0.08,0.075,210
3,2,0.25,0.3,0.2,96.9,2.05,0.08,0.08,0.08,0.075,130
3,4,0.25,0.3,0.2,96.9,2.05,0.08,0.08,0.08,0.075,180
3,6,0.25,0.3,0.2,96.9,2.05,0.08,0.08,0.08,0.075,210
3,8,0.25,0.3,0.2,96.9,2.05,0.08,0.08,0.08,0.075,225
1,2,0.23,0.01,0.23,95.65,3.5,0.03,0.03,0.25,0.1,175
1,4,0.23,0.01,0.23,95.65,3.5,0.03,0.03,0.25,0.1,205
1,6,0.23,0.01,0.23,95.65,3.5,0.03,0.03,0.25,0.1,225
1,8,0.23,0.01,0.23,95.65,3.5,0.03,0.03,0.25,0.1,240
2,2,0.23,0.01,0.23,95.65,3.5,0.03,0.03,0.25,0.1,175
2,4,0.23,0.01,0.23,95.65,3.5,0.03,0.03,0.25,0.1,205
2,6,0.23,0.01,0.23,95.65,3.5,0.03,0.03,0.25,0.1,225
3,2,0.23,0.01,0.23,95.65,3.5,0.03,0.03,0.25,0.1,175
3,4,0.23,0.01,0.23,95.65,3.5,0.03,0.03,0.25,0.1,205
3,6,0.23,0.01,0.23,95.65,3.5,0.03,0.03,0.25,0.1,225
3,8,0.23,0.01,0.23,95.65,3.5,0.03,0.03,0.25,0.1,240
1,1,0.2,0.75,0.13,95.83,2.7,0.1,0.05,0.13,0.125,100
3,2,0.2,0.75,0.13,95.83,2.7,0.1,0.05,0.13,0.125,180
3,4,0.2,0.75,0.13,95.83,2.7,0.1,0.05,0.13,0.125,200
1,1,0.2,0.01,0.2,96.78,2.5,0,0.02,0.25,0.05,65
1,2,0.2,0.01,0.2,96.78,2.5,0,0.02,0.25,0.05,155
1,4,0.2,0.01,0.2,96.78,2.5,0,0.02,0.25,0.05,175
1,6,0.2,0.01,0.2,96.78,2.5,0,0.02,0.25,0.05,205
1,8,0.2,0.01,0.2,96.78,2.5,0,0.02,0.25,0.05,225
2,2,0.2,0.01,0.2,96.78,2.5,0,0.02,0.25,0.05,155
2,4,0.2,0.01,0.2,96.78,2.5,0,0.02,0.25,0.05,180
2,6,0.2,0.01,0.2,96.78,2.5,0,0.02,0.25,0.05,205
3,2,0.2,0.01,0.2,96.78,2.5,0,0.02,0.25,0.05,155
3,4,0.2,0.01,0.2,96.78,2.5,0,0.02,0.25,0.05,180
3,6,0.2,0.01,0.2,96.78,2.5,0,0.02,0.25,0.05,205
3,8,0.2,0.01,0.2,96.78,2.5,0,0.02,0.25,0.05,220
1,1,0.2,0.25,0.2,95.88,3.1,0.08,0.05,0.15,0.1,90
1,2,0.2,0.25,0.2,95.88,3.1,0.08,0.05,0.15,0.1,140
1,4,0.2,0.25,0.2,95.88,3.1,0.08,0.05,0.15,0.1,180
1,8,0.2,0.25,0.2,95.88,3.1,0.08,0.05,0.15,0.1,240
2,4,0.2,0.25,0.2,95.88,3.1,0.08,0.05,0.15,0.1,160
3,4,0.2,0.25,0.2,95.88,3.1,0.08,0.05,0.15,0.1,160
3,8,0.2,0.25,0.2,95.88,3.1,0.08,0.05,0.15,0.1,230
1,2,0.13,0.1,0.08,99.19,0.4,0,0.1,0,0.015,95
1,4,0.13,0.1,0.08,99.19,0.4,0,0.1,0,0.015,115
1,6,0.13,0.1,0.08,99.19,0.4,0,0.1,0,0.015,135
3,2,0.13,0.1,0.08,99.19,0.4,0,0.1,0,0.015,85
3,4,0.13,0.1,0.08,99.19,0.4,0,0.1,0,0.015,105
3,6,0.13,0.1,0.08,99.19,0.4,0,0.1,0,0.015,125